Project Name,Place,Longitude,Latitude,Price,Standing,State,Delivery,Advertiser,Advertiser Phone
Résidence Al Amal,Ferme Bretonne (Hay Arraha) à Casablanca,-7.669143676757983,33.572365395778974,"À partir de 850 000 DH
18 500DH / m²",Haut standing,Finalisé,,Dolce Casa,06 61 41 00 06
Magasin Résidence Ain Borja,Ain Borja à Casablanca,-7.58996826106781,33.585079204418044,"Prix à consulter
8 500DH / m²",Haut standing,Finalisé,,Les Jardins de Belvédère,05 22 60 98 58
La Clermontoise,Oasis à Casablanca,-7.636871337890653,33.55555818063362,"À partir de 2 006 000 DH
17 000DH / m²",Haut standing,Finalisé,,Résidence la Clermontoise,06 61 05 89 20
Les Princesses,Les princesses à Casablanca,-7.649574279785213,33.57624489450508,À partir de 1 501 000 DH,Haut standing,Finalisé,,El Majidi Immo,06 61 74 69 23
Résidence Amelia,Oulfa à Casablanca,-7.676106691360161,33.555340995473664,À partir de 1 750 000 DH,Haut standing,Finalisé,,Résidence Amélia,06 69 29 92 26
Résidence la Gracieuse,Oasis à Casablanca,-7.628277540206966,33.562304927205226,"À partir de 1 620 000 DH
18 500DH / m²",Moyen standing,Finalisé,,Résidence la Gracieuse,06 65 64 72 40
Résidence En-Nour,Aïn Sebaâ à Casablanca,-7.5255042786391755,33.613068914837,À partir de 550 000 DH,Moyen standing,Finalisé,,Miftah Ennour,06 61 13 22 77
Les Jardins de Belvédère,Ain Borja à Casablanca,-7.590672969818257,33.58175098042196,"Prix à consulter
10 500DH / m²",Haut standing,Finalisé,,Les Jardins de Belvédère,05 22 60 98 58
Norway Amira,Aïn Sebaâ à Casablanca,-7.539947032928779,33.6125106631255,"À partir de 780 000 DH
10 000DH / m²",,Finalisé,,Norway Amira,06 61 20 04 17
Siyame Belvédère – Tranche II,Belvédère à Casablanca,-7.592955529689874,33.596323429460895,Prix à consulter,,En cours de construction,,Siyame Immobilier,06 60 51 45 32
